"stg","mean"
318,24.3302352817719
319,25.0505535296098
320,25.8250794569598
321,26.6304748750958
322,27.4175497455587
323,28.1371140298891
324,28.7399776896277
325,29.213258972252
326,29.6724534386399
327,29.9688154835442
328,29.9519319927706
329,29.6436758927078
330,29.1115152290148
331,28.4229180473509
332,27.6453523933752
333,26.8462863127471
334,26.0931878511257
335,25.4535250541702
336,24.9947659675397
337,24.7600524721282
338,24.6360964732719
339,24.5771086863294
340,24.5577594190101
341,24.5527189790233
342,24.5366576740783
343,24.4842458118846
344,24.4131488605585
345,24.3576971376095
346,24.3175582248371
347,24.2923997040409
348,24.2818891570201
349,24.28644754178
350,24.3088155814589
351,24.345716048996
352,24.3929575504696
353,24.4463486919582
354,24.5016980795401
355,24.5548143192937
356,24.6015060172975
357,24.6375817796297
